criterion,max_depth,min_samples_leaf,min_samples_split,accuracy,precision,recall
gini,3.0,1,2,0.9122807017543859,0.9444444444444444,0.8095238095238095
gini,3.0,1,10,0.9035087719298246,0.9428571428571428,0.7857142857142857
gini,3.0,5,2,0.9122807017543859,0.9444444444444444,0.8095238095238095
gini,3.0,5,10,0.9122807017543859,0.9444444444444444,0.8095238095238095
gini,5.0,1,2,0.9122807017543859,0.9444444444444444,0.8095238095238095
gini,5.0,1,10,0.8947368421052632,0.9166666666666666,0.7857142857142857
gini,5.0,5,2,0.9035087719298246,0.918918918918919,0.8095238095238095
gini,5.0,5,10,0.9035087719298246,0.918918918918919,0.8095238095238095
gini,7.0,1,2,0.9385964912280702,0.926829268292683,0.9047619047619048
gini,7.0,1,10,0.9122807017543859,0.9,0.8571428571428571
gini,7.0,5,2,0.9035087719298246,0.918918918918919,0.8095238095238095
gini,7.0,5,10,0.9035087719298246,0.918918918918919,0.8095238095238095
gini,,1,2,0.9210526315789473,0.9024390243902439,0.8809523809523809
gini,,1,10,0.9122807017543859,0.9,0.8571428571428571
gini,,5,2,0.9035087719298246,0.918918918918919,0.8095238095238095
gini,,5,10,0.9035087719298246,0.918918918918919,0.8095238095238095
entropy,3.0,1,2,0.9385964912280702,0.926829268292683,0.9047619047619048
entropy,3.0,1,10,0.9385964912280702,0.926829268292683,0.9047619047619048
entropy,3.0,5,2,0.9385964912280702,0.926829268292683,0.9047619047619048
entropy,3.0,5,10,0.9385964912280702,0.926829268292683,0.9047619047619048
entropy,5.0,1,2,0.9736842105263158,1.0,0.9285714285714286
entropy,5.0,1,10,0.9649122807017544,1.0,0.9047619047619048
entropy,5.0,5,2,0.9649122807017544,1.0,0.9047619047619048
entropy,5.0,5,10,0.9649122807017544,1.0,0.9047619047619048
entropy,7.0,1,2,0.956140350877193,1.0,0.8809523809523809
entropy,7.0,1,10,0.956140350877193,1.0,0.8809523809523809
entropy,7.0,5,2,0.956140350877193,1.0,0.8809523809523809
entropy,7.0,5,10,0.956140350877193,1.0,0.8809523809523809
entropy,,1,2,0.956140350877193,1.0,0.8809523809523809
entropy,,1,10,0.956140350877193,1.0,0.8809523809523809
entropy,,5,2,0.956140350877193,1.0,0.8809523809523809
entropy,,5,10,0.956140350877193,1.0,0.8809523809523809
